ko,2093,2267
e,2267,2442
wo,2442,4360
ki,4360,4535
ka,4535,5058
se,5058,5233
te,5233,6279
ki,6628,6802
mi,6802,6977
wa,6977,7326
i,7326,7500
ma,7500,8023
de,8023,8198
mo,8198,9070
bo,9419,9593
ku,9593,9767
wo,9767,10116
te,10116,10291
ra,10291,10814
su,10814,10988
hi,10988,11860
ka,11860,12209
ri,12209,12907
a,13256,13430
i,13430,13605
wo,13605,15698
ke,15698,16221
shi,16221,16395
te,16395,17442
u,17791,17965
ba,17965,18139
wa,18139,18488
re,18488,18663
na,18663,19186
i,19186,19360
de,19360,20232
yo,20581,20756
ga,20756,20930
a,20930,21279
ke,21279,21453
ru,21453,21977
ma,21977,22151
de,22151,23023
so,23372,23546
ba,23546,23721
ni,23721,24070
i,24070,24244
ru,24244,24767
ka,24767,24942
ra,24942,25814
